,Sentence1,Emotion
3456,I made this girl feel ecstatic.,3
1798,The situation makes my dad feel relieved.,3
8487,The conversation with this girl was grim.,1
8401,The conversation with Stephanie was vexing.,0
6233,My mom found herself in a shocking situation.,2
3337,I made Kristin feel glad.,3
6410,Malik told us all about the recent horrible events.,2
6364,Darnell told us all about the recent displeasing events.,0
7662,The conversation with Harry was outrageous.,0
8633,The conversation with my mom was shocking.,2
7585,The conversation with Lamar was depressing.,1
2679,I made Roger feel excited.,3
364,Andrew feels annoyed.,0
6702,My brother told us all about the recent outrageous events.,0
3517,I made my wife feel glad.,3
8187,The conversation with Tia was grim.,1
2377,The situation makes my aunt feel glad.,3
3718,Torrance made me feel relieved.,3
6131,My daughter found herself in a threatening situation.,2
5891,Heather found herself in a threatening situation.,2
4441,Heather made me feel furious.,0
8088,The conversation with Ebony was heartbreaking.,1
5117,Jerome found himself in an amazing situation.,3
1421,The situation makes Harry feel furious.,0
457,This boy feels glad.,3
8570,The conversation with my girlfriend was horrible.,2
6538,Alan told us all about the recent wonderful events.,3
2730,I made Justin feel terrified.,2
4581,Ellen made me feel furious.,0
1442,The situation makes Josh feel irritated.,0
7300,My sister told us all about the recent irritating events.,0
1382,The situation makes Terrence feel irritated.,0
3870,Roger made me feel terrified.,2
4136,My boyfriend made me feel ecstatic.,3
7414,My aunt told us all about the recent dreadful events.,2
4790,My mom made me feel terrified.,2
8411,The conversation with Stephanie was threatening.,2
2067,The situation makes Melanie feel devastated.,1
6965,Tanisha told us all about the recent depressing events.,1
4058,This boy made me feel relieved.,3
4685,My daughter made me feel sad.,1
7531,The conversation with Leroy was threatening.,2
1512,The situation makes Frank feel scared.,2
3911,Frank made me feel discouraged.,2
2077,The situation makes Melanie feel glad.,3
7672,The conversation with Harry was terrifying.,2
2809,I made him feel disappointed.,1
5983,Nancy found herself in an annoying situation.,0
1373,The situation makes Malik feel anxious.,2
2970,I made my uncle feel terrified.,2
6562,Justin told us all about the recent outrageous events.,0
3002,I made Nichelle feel irritated.,0
1684,The situation makes my son feel annoyed.,0
1923,The situation makes Tanisha feel enraged.,0
6177,My girlfriend found herself in an amazing situation.,3
7651,The conversation with Adam was threatening.,2
5419,Andrew found himself in a great situation.,3
6128,My daughter found herself in a heartbreaking situation.,1
3415,I made her feel happy.,3
1827,The situation makes Shereen feel devastated.,1
745,Tia feels sad.,1
6619,Andrew told us all about the recent great events.,3
2095,The situation makes Katie feel happy.,3
2628,I made Harry feel miserable.,1
3423,I made this woman feel enraged.,0
3833,Harry made me feel anxious.,2
983,Ellen feels enraged.,0
8281,The conversation with Heather was vexing.,0
4038,This man made me feel relieved.,3
610,Nichelle feels terrified.,2
345,Ryan feels sad.,1
4475,Melanie made me feel happy.,3
1982,The situation makes Latoya feel irritated.,0
239,Harry feels excited.,3
0,Alonzo feels angry.,0
685,Shaniqua feels sad.,1
6012,Stephanie found herself in a terrifying situation.,2
7113,Melanie told us all about the recent shocking events.,2
6559,Frank told us all about the recent great events.,3
4516,Betsy made me feel ecstatic.,3
3021,I made Shereen feel furious.,0
8000,The conversation with my uncle was irritating.,0
1874,The situation makes Latisha feel fearful.,2
4290,Shaniqua made me feel terrified.,2
2705,I made Frank feel sad.,1
892,Katie feels scared.,2
7043,Amanda told us all about the recent annoying events.,0
857,Heather feels glad.,3
34,Jamel feels fearful.,2
4359,Tia made me feel excited.,3
2715,I made Frank feel happy.,3
7222,Ellen told us all about the recent outrageous events.,0
3227,I made Courtney feel devastated.,1
8165,The conversation with Tanisha was depressing.,1
1841,The situation makes Ebony feel furious.,0
5499,This boy found himself in a great situation.,3
2905,I made my husband feel sad.,1
427,This man feels devastated.,1
5414,Andrew found himself in a dreadful situation.,2
2112,The situation makes Betsy feel scared.,2
4794,My mom made me feel fearful.,2
5368,Justin found himself in a heartbreaking situation.,1
5190,Lamar found himself in a horrible situation.,2
7600,The conversation with Malik was irritating.,0
8539,The conversation with my daughter was great.,3
2451,I made Alphonse feel discouraged.,2
2395,The situation makes my mom feel happy.,3
3631,Jamel made me feel discouraged.,2
3169,I made Lakisha feel disappointed.,1
3501,I made my wife feel furious.,0
6598,Ryan told us all about the recent wonderful events.,3
2523,I made Darnell feel enraged.,0
2570,I made Malik feel terrified.,2
42,Alphonse feels irritated.,0
2440,I made Alphonse feel angry.,0
1568,The situation makes Andrew feel miserable.,1
4055,This boy made me feel happy.,3
2993,I made my dad feel anxious.,2
6689,This boy told us all about the recent gloomy events.,1
8455,The conversation with her was funny.,3
904,Betsy feels annoyed.,0
956,Nancy feels ecstatic.,3
1849,The situation makes Ebony feel disappointed.,1
7637,The conversation with Terrence was amazing.,3
4016,He made me feel ecstatic.,3
8379,The conversation with Kristin was great.,3
8559,The conversation with my wife was great.,3
5164,Darnell found himself in a displeasing situation.,0
5462,This man found himself in an outrageous situation.,0
8227,The conversation with Latoya was grim.,1
6892,Ebony told us all about the recent terrifying events.,2
5761,Tanisha found herself in a vexing situation.,0
587,My dad feels devastated.,1
4490,Katie made me feel terrified.,2
1142,My mother feels irritated.,0
2510,I made Torrance feel terrified.,2
6603,Andrew told us all about the recent annoying events.,0
5049,Alonzo found himself in a gloomy situation.,1
4557,Nancy made me feel glad.,3
6006,Stephanie found herself in a serious situation.,1
7249,She told us all about the recent gloomy events.,1
7784,The conversation with Ryan was displeasing.,0
2598,I made Terrence feel relieved.,3
1547,The situation makes Ryan feel devastated.,1
3664,Jerome made me feel annoyed.,0
6352,Torrance told us all about the recent terrifying events.,2
7409,My aunt told us all about the recent gloomy events.,1
7576,The conversation with Darnell was hilarious.,3
8337,The conversation with Katie was amazing.,3
1495,The situation makes Alan feel happy.,3
4334,Tanisha made me feel fearful.,2
6580,Ryan told us all about the recent irritating events.,0
759,Tia feels excited.,3
3592,I made my mom feel scared.,2
3465,I made my sister feel sad.,1
2801,I made him feel furious.,0
3717,Torrance made me feel glad.,3
8326,The conversation with Katie was serious.,1
231,Harry feels discouraged.,2
6949,Jasmine told us all about the recent gloomy events.,1
6837,My dad told us all about the recent amazing events.,3
6175,My girlfriend found herself in a funny situation.,3
7271,This woman told us all about the recent threatening events.,2
6777,My boyfriend told us all about the recent amazing events.,3
5791,Tia found herself in a threatening situation.,2
2951,I made my father feel discouraged.,2
14,Alonzo feels fearful.,2
7031,Latoya told us all about the recent threatening events.,2
5166,Darnell found himself in a serious situation.,1
2783,I made Jack feel enraged.,0
6768,My boyfriend told us all about the recent heartbreaking events.,1
802,Amanda feels irritated.,0
1521,The situation makes Justin feel furious.,0
7014,Lakisha told us all about the recent dreadful events.,2
3226,I made Courtney feel depressed.,1
330,Justin feels terrified.,2
8603,The conversation with my aunt was annoying.,0
5518,My brother found himself in a wonderful situation.,3
1747,The situation makes my father feel devastated.,1
6902,Latisha told us all about the recent outrageous events.,0
3024,I made Shereen feel annoyed.,0
7320,My daughter told us all about the recent irritating events.,0
1394,The situation makes Terrence feel fearful.,2
4658,This girl made me feel relieved.,3
3869,Roger made me feel disappointed.,1
3287,I made Katie feel devastated.,1
3084,I made Shaniqua feel annoyed.,0
499,My son feels excited.,3
1108,My wife feels miserable.,1
7498,The conversation with Alphonse was wonderful.,3
4231,Shereen made me feel discouraged.,2
36,Jamel feels ecstatic.,3
1855,The situation makes Ebony feel happy.,3
2947,I made my father feel devastated.,1
8191,The conversation with Tia was threatening.,2
5904,Melanie found herself in a displeasing situation.,0
3403,I made her feel enraged.,0
2973,I made my uncle feel anxious.,2
1749,The situation makes my father feel disappointed.,1
6567,Justin told us all about the recent grim events.,1
5436,Jack found himself in a hilarious situation.,3
4059,This boy made me feel excited.,3
1282,The situation makes Leroy feel irritated.,0
775,Lakisha feels happy.,3
5575,My boyfriend found himself in a funny situation.,3
4263,Latisha made me feel enraged.,0
2436,I made Jamel feel ecstatic.,3
8287,The conversation with Heather was grim.,1
6503,Roger told us all about the recent annoying events.,0
8339,The conversation with Katie was great.,3
5320,Alan found himself in an irritating situation.,0
3197,I made Latoya feel glad.,3
3426,I made this woman feel depressed.,1
139,Darnell feels excited.,3
7682,The conversation with Josh was outrageous.,0
6901,Latisha told us all about the recent vexing events.,0
4664,My sister made me feel annoyed.,0
3620,Jamel made me feel angry.,0
7815,The conversation with Andrew was funny.,3
293,Alan feels anxious.,2
2196,The situation makes Ellen feel ecstatic.,3
709,Jasmine feels disappointed.,1
4637,This woman made me feel glad.,3
6669,This man told us all about the recent gloomy events.,1
6338,Leroy told us all about the recent wonderful events.,3
6222,My mom found herself in an outrageous situation.,0
4543,Nancy made me feel enraged.,0
6907,Latisha told us all about the recent grim events.,1
390,Jack feels terrified.,2
1905,The situation makes Jasmine feel sad.,1
4425,Courtney made me feel sad.,1
8492,The conversation with this girl was terrifying.,2
1544,The situation makes Ryan feel annoyed.,0
3156,I made Tia feel ecstatic.,3
7269,This woman told us all about the recent gloomy events.,1
4717,My wife made me feel glad.,3
565,My uncle feels sad.,1
3354,I made Nancy feel fearful.,2
3164,I made Lakisha feel annoyed.,0
3353,I made Nancy feel anxious.,2
3145,I made Tia feel sad.,1
89,Leroy feels disappointed.,1
408,He feels miserable.,1
6752,My husband told us all about the recent terrifying events.,2
1335,The situation makes Darnell feel happy.,3
3083,I made Shaniqua feel enraged.,0
649,Ebony feels disappointed.,1
6717,My brother told us all about the recent amazing events.,3
6396,Lamar told us all about the recent hilarious events.,3
8221,The conversation with Latoya was vexing.,0
782,Latoya feels irritated.,0
7253,She told us all about the recent shocking events.,2
7323,My daughter told us all about the recent annoying events.,0
4714,My wife made me feel fearful.,2
7079,Courtney told us all about the recent great events.,3
5515,My brother found himself in a funny situation.,3
6200,My aunt found herself in an irritating situation.,0
8217,The conversation with Lakisha was amazing.,3
2252,The situation makes this girl feel scared.,2
1392,The situation makes Terrence feel scared.,2
3278,I made Melanie feel relieved.,3
8383,The conversation with Nancy was annoying.,0
7046,Amanda told us all about the recent serious events.,1
792,Latoya feels scared.,2
4057,This boy made me feel glad.,3
7142,Betsy told us all about the recent outrageous events.,0
7810,The conversation with Andrew was horrible.,2
3096,I made Shaniqua feel ecstatic.,3
6096,This girl found herself in a hilarious situation.,3
760,Lakisha feels angry.,0
8136,The conversation with Shaniqua was hilarious.,3
1396,The situation makes Terrence feel ecstatic.,3
6106,My sister found herself in a serious situation.,1
8246,The conversation with Amanda was serious.,1
2166,The situation makes Stephanie feel depressed.,1
1120,My girlfriend feels angry.,0
1426,The situation makes Harry feel depressed.,1
6330,Leroy told us all about the recent horrible events.,2
4032,This man made me feel scared.,2
7685,The conversation with Josh was depressing.,1
5747,Jasmine found herself in a grim situation.,1
1058,This girl feels relieved.,3
8293,The conversation with Heather was shocking.,2
7827,The conversation with Jack was grim.,1
5598,My father found himself in a wonderful situation.,3
7070,Courtney told us all about the recent horrible events.,2
2767,I made Andrew feel devastated.,1
7373,My girlfriend told us all about the recent shocking events.,2
7342,My wife told us all about the recent outrageous events.,0
6757,My husband told us all about the recent amazing events.,3
1973,The situation makes Lakisha feel anxious.,2
886,Katie feels depressed.,1
1903,The situation makes Jasmine feel enraged.,0
7812,The conversation with Andrew was terrifying.,2
6132,My daughter found herself in a terrifying situation.,2
4563,Stephanie made me feel enraged.,0
4118,My husband made me feel relieved.,3
1013,She feels anxious.,2
4126,My boyfriend made me feel depressed.,1
6706,My brother told us all about the recent serious events.,1
8343,The conversation with Betsy was annoying.,0
6674,This man told us all about the recent dreadful events.,2
7420,My mom told us all about the recent irritating events.,0
3948,Ryan made me feel miserable.,1
1418,The situation makes Adam feel relieved.,3
7598,The conversation with Lamar was wonderful.,3
7361,My girlfriend told us all about the recent vexing events.,0
883,Katie feels enraged.,0
3489,I made my daughter feel disappointed.,1
4767,My aunt made me feel devastated.,1
7468,The conversation with Jamel was heartbreaking.,1
7987,The conversation with my father was grim.,1
2860,I made my brother feel angry.,0
6963,Tanisha told us all about the recent annoying events.,0
1311,The situation makes Torrance feel discouraged.,2
3909,Frank made me feel disappointed.,1
7712,The conversation with Roger was terrifying.,2
4140,My father made me feel angry.,0
5845,Amanda found herself in a depressing situation.,1
7368,My girlfriend told us all about the recent heartbreaking events.,1
7257,She told us all about the recent amazing events.,3
1290,The situation makes Leroy feel terrified.,2
8341,The conversation with Betsy was vexing.,0
2131,The situation makes Kristin feel discouraged.,2
318,Frank feels relieved.,3
6001,Stephanie found herself in a vexing situation.,0
5339,Alan found himself in a great situation.,3
1737,The situation makes my boyfriend feel glad.,3
600,Nichelle feels angry.,0
344,Ryan feels annoyed.,0
4088,My son made me feel miserable.,1
8239,The conversation with Latoya was great.,3
5202,Malik found himself in an outrageous situation.,0
3750,Lamar made me feel terrified.,2
2193,The situation makes Ellen feel anxious.,2
5467,This man found himself in a grim situation.,1
6069,This woman found herself in a gloomy situation.,1
6317,Jerome told us all about the recent amazing events.,3
5059,Alonzo found himself in a great situation.,3
435,This man feels happy.,3
6983,Tia told us all about the recent annoying events.,0
7997,The conversation with my father was amazing.,3
3658,Alphonse made me feel relieved.,3
1193,My mom feels anxious.,2
3553,I made my mother feel anxious.,2
1865,The situation makes Latisha feel sad.,1
2667,I made Roger feel devastated.,1
1591,The situation makes Jack feel discouraged.,2
6852,Nichelle told us all about the recent terrifying events.,2
1861,The situation makes Latisha feel furious.,0
4073,My brother made me feel anxious.,2
5838,Latoya found herself in a wonderful situation.,3
4602,She made me feel irritated.,0
7096,Heather told us all about the recent hilarious events.,3
8006,The conversation with my uncle was serious.,1
3950,Ryan made me feel terrified.,2
5067,Jamel found himself in a grim situation.,1
8462,The conversation with this woman was outrageous.,0
821,Courtney feels furious.,0
3636,Jamel made me feel ecstatic.,3
7304,My sister told us all about the recent displeasing events.,0
2815,I made him feel happy.,3
7961,The conversation with my boyfriend was vexing.,0
4243,Ebony made me feel enraged.,0
7909,The conversation with my brother was gloomy.,1
471,My brother feels discouraged.,2
7219,Stephanie told us all about the recent great events.,3
3602,Alonzo made me feel irritated.,0
697,Shaniqua feels glad.,3
3095,I made Shaniqua feel happy.,3
6659,He told us all about the recent great events.,3
6337,Leroy told us all about the recent amazing events.,3
1101,My wife feels furious.,0
5819,Lakisha found herself in a great situation.,3
7872,The conversation with this man was terrifying.,2
5247,Adam found himself in a grim situation.,1
6932,Shaniqua told us all about the recent terrifying events.,2
5777,Tanisha found herself in an amazing situation.,3
3314,I made Betsy feel fearful.,2
209,Adam feels disappointed.,1
6453,Adam told us all about the recent shocking events.,2
6056,She found herself in a hilarious situation.,3
8288,The conversation with Heather was heartbreaking.,1
6810,My uncle told us all about the recent horrible events.,2
1918,The situation makes Jasmine feel relieved.,3
1978,The situation makes Lakisha feel relieved.,3
1545,The situation makes Ryan feel sad.,1
3850,Josh made me feel terrified.,2
2270,The situation makes my sister feel terrified.,2
3406,I made her feel depressed.,1
534,My boyfriend feels fearful.,2
7124,Katie told us all about the recent displeasing events.,0
5348,Frank found himself in a heartbreaking situation.,1
3747,Lamar made me feel devastated.,1
3968,Andrew made me feel miserable.,1
691,Shaniqua feels discouraged.,2
7325,My daughter told us all about the recent depressing events.,1
164,Malik feels annoyed.,0
762,Lakisha feels irritated.,0
1864,The situation makes Latisha feel annoyed.,0
875,Melanie feels happy.,3
3008,I made Nichelle feel miserable.,1
3245,I made Heather feel sad.,1
7352,My wife told us all about the recent terrifying events.,2
7215,Stephanie told us all about the recent funny events.,3
1475,The situation makes Roger feel happy.,3
1259,The situation makes Alphonse feel excited.,3
6365,Darnell told us all about the recent depressing events.,1
7378,My girlfriend told us all about the recent wonderful events.,3
4734,My girlfriend made me feel fearful.,2
5336,Alan found himself in a hilarious situation.,3
3144,I made Tia feel annoyed.,0
891,Katie feels discouraged.,2
7710,The conversation with Roger was horrible.,2
1803,The situation makes Nichelle feel enraged.,0
2458,I made Alphonse feel relieved.,3
7277,This woman told us all about the recent amazing events.,3
8277,The conversation with Courtney was amazing.,3
1575,The situation makes Andrew feel happy.,3
6232,My mom found herself in a terrifying situation.,2
5605,My uncle found himself in a depressing situation.,1
6534,Alan told us all about the recent dreadful events.,2
3519,I made my wife feel excited.,3
5088,Alphonse found himself in a heartbreaking situation.,1
4070,My brother made me feel terrified.,2
7868,The conversation with this man was heartbreaking.,1
8245,The conversation with Amanda was depressing.,1
1494,The situation makes Alan feel fearful.,2
6238,My mom found herself in a wonderful situation.,3
2835,I made this man feel happy.,3
6553,Frank told us all about the recent shocking events.,2
1976,The situation makes Lakisha feel ecstatic.,3
2691,I made Alan feel discouraged.,2
2300,The situation makes my wife feel angry.,0
1876,The situation makes Latisha feel ecstatic.,3
7619,The conversation with Malik was great.,3
5115,Jerome found himself in a funny situation.,3
2415,I made Alonzo feel happy.,3
5228,Terrence found himself in a heartbreaking situation.,1
3385,I made Ellen feel sad.,1
1786,The situation makes my dad feel depressed.,1
1134,My girlfriend feels fearful.,2
2162,The situation makes Stephanie feel irritated.,0
7150,Betsy told us all about the recent horrible events.,2
3092,I made Shaniqua feel scared.,2
7995,The conversation with my father was funny.,3
8486,The conversation with this girl was serious.,1
2962,I made my uncle feel irritated.,0
2642,I made Josh feel irritated.,0
659,Ebony feels excited.,3
788,Latoya feels miserable.,1
6450,Adam told us all about the recent horrible events.,2
203,Adam feels enraged.,0
7892,The conversation with this boy was terrifying.,2
3860,Roger made me feel angry.,0
3413,I made her feel anxious.,2
4286,Shaniqua made me feel depressed.,1
1454,The situation makes Josh feel fearful.,2
6541,Frank told us all about the recent vexing events.,0
110,Torrance feels terrified.,2
5400,Andrew found himself in an irritating situation.,0
4412,Amanda made me feel scared.,2
7019,Lakisha told us all about the recent great events.,3
5537,My son found himself in an amazing situation.,3
442,This boy feels irritated.,0
8071,The conversation with Shereen was threatening.,2
3552,I made my mother feel scared.,2
3657,Alphonse made me feel glad.,3
1753,The situation makes my father feel anxious.,2
8074,The conversation with Shereen was dreadful.,2
7101,Melanie told us all about the recent vexing events.,0
4310,Jasmine made me feel terrified.,2
1680,The situation makes my son feel angry.,0
7442,The conversation with Alonzo was outrageous.,0
5850,Amanda found herself in a horrible situation.,2
2726,I made Justin feel depressed.,1
5203,Malik found himself in an annoying situation.,0
7593,The conversation with Lamar was shocking.,2
1852,The situation makes Ebony feel scared.,2
7615,The conversation with Malik was funny.,3
2701,I made Frank feel furious.,0
2673,I made Roger feel anxious.,2
2421,I made Jamel feel furious.,0
5461,This man found himself in a vexing situation.,0
8050,The conversation with Nichelle was horrible.,2
3005,I made Nichelle feel sad.,1
2554,I made Lamar feel fearful.,2
2989,I made my dad feel disappointed.,1
3874,Roger made me feel fearful.,2
3612,Alonzo made me feel scared.,2
3829,Harry made me feel disappointed.,1
2709,I made Frank feel disappointed.,1
8132,The conversation with Shaniqua was terrifying.,2
3802,Adam made me feel irritated.,0
1605,The situation makes him feel sad.,1
4674,My sister made me feel fearful.,2
7581,The conversation with Lamar was vexing.,0
3684,Leroy made me feel annoyed.,0
6294,Alphonse told us all about the recent dreadful events.,2
7894,The conversation with this boy was dreadful.,2
3891,Alan made me feel discouraged.,2
1024,This woman feels annoyed.,0
2061,The situation makes Melanie feel furious.,0
635,Shereen feels happy.,3
2675,I made Roger feel happy.,3
8577,The conversation with my girlfriend was amazing.,3
1436,The situation makes Harry feel ecstatic.,3
221,Harry feels furious.,0
4106,My husband made me feel depressed.,1
1199,My mom feels excited.,3
7808,The conversation with Andrew was heartbreaking.,1
5425,Jack found himself in a depressing situation.,1
612,Nichelle feels scared.,2
7121,Katie told us all about the recent vexing events.,0
5567,My boyfriend found himself in a grim situation.,1
6285,Alphonse told us all about the recent depressing events.,1
1576,The situation makes Andrew feel ecstatic.,3
1113,My wife feels anxious.,2
2470,I made Jerome feel terrified.,2
6916,Latisha told us all about the recent hilarious events.,3
8048,The conversation with Nichelle was heartbreaking.,1
6599,Ryan told us all about the recent great events.,3
1074,My sister feels fearful.,2
7174,Kristin told us all about the recent dreadful events.,2
3634,Jamel made me feel fearful.,2
6180,My mother found herself in an irritating situation.,0
4292,Shaniqua made me feel scared.,2
4777,My aunt made me feel glad.,3
1254,The situation makes Alphonse feel fearful.,2
2659,I made Josh feel excited.,3
5863,Courtney found herself in an annoying situation.,0
7412,My aunt told us all about the recent terrifying events.,2
6179,My girlfriend found herself in a great situation.,3
1782,The situation makes my dad feel irritated.,0
115,Torrance feels happy.,3
7767,The conversation with Justin was grim.,1
4667,My sister made me feel devastated.,1
6057,She found herself in an amazing situation.,3
6620,Jack told us all about the recent irritating events.,0
8359,The conversation with Betsy was great.,3
8517,The conversation with my sister was amazing.,3
6786,My father told us all about the recent serious events.,1
3901,Frank made me feel furious.,0
8275,The conversation with Courtney was funny.,3
1794,The situation makes my dad feel fearful.,2
1838,The situation makes Shereen feel relieved.,3
8564,The conversation with my girlfriend was displeasing.,0
1648,The situation makes this boy feel miserable.,1
852,Heather feels scared.,2
8283,The conversation with Heather was annoying.,0
3676,Jerome made me feel ecstatic.,3
3613,Alonzo made me feel anxious.,2
613,Nichelle feels anxious.,2
5772,Tanisha found herself in a terrifying situation.,2
8565,The conversation with my girlfriend was depressing.,1
4773,My aunt made me feel anxious.,2
223,Harry feels enraged.,0
3720,Darnell made me feel angry.,0
6638,Jack told us all about the recent wonderful events.,3
1472,The situation makes Roger feel scared.,2
2148,The situation makes Nancy feel miserable.,1
8424,The conversation with Ellen was displeasing.,0
5053,Alonzo found himself in a shocking situation.,2
1173,My aunt feels anxious.,2
6711,My brother told us all about the recent threatening events.,2
3621,Jamel made me feel furious.,0
7916,The conversation with my brother was hilarious.,3
1710,The situation makes my husband feel terrified.,2
1748,The situation makes my father feel miserable.,1
5421,Jack found himself in a vexing situation.,0
4718,My wife made me feel relieved.,3
3101,I made Jasmine feel furious.,0
621,Shereen feels furious.,0
7646,The conversation with Adam was serious.,1
5452,He found himself in a terrifying situation.,2
6671,This man told us all about the recent threatening events.,2
640,Ebony feels angry.,0
938,Kristin feels relieved.,3
5599,My father found himself in a great situation.,3
7285,This girl told us all about the recent depressing events.,1
7306,My sister told us all about the recent serious events.,1
1752,The situation makes my father feel scared.,2
8194,The conversation with Tia was dreadful.,2
5586,My father found himself in a serious situation.,1
305,Frank feels sad.,1
2473,I made Jerome feel anxious.,2
1213,The situation makes Alonzo feel anxious.,2
1237,The situation makes Jamel feel glad.,3
2682,I made Alan feel irritated.,0
3952,Ryan made me feel scared.,2
6259,Alonzo told us all about the recent great events.,3
6672,This man told us all about the recent terrifying events.,2
7264,This woman told us all about the recent displeasing events.,0
917,Betsy feels glad.,3
5185,Lamar found himself in a depressing situation.,1
313,Frank feels anxious.,2
3307,I made Betsy feel devastated.,1
6775,My boyfriend told us all about the recent funny events.,3
8624,The conversation with my mom was displeasing.,0
5248,Adam found himself in a heartbreaking situation.,1
2517,I made Torrance feel glad.,3
250,Josh feels terrified.,2
5350,Frank found himself in a horrible situation.,2
8544,The conversation with my wife was displeasing.,0
1128,My girlfriend feels miserable.,1
1629,The situation makes this man feel disappointed.,1
2156,The situation makes Nancy feel ecstatic.,3
2462,I made Jerome feel irritated.,0
8638,The conversation with my mom was wonderful.,3
6155,My wife found herself in a funny situation.,3
2491,I made Leroy feel discouraged.,2
4117,My husband made me feel glad.,3
1391,The situation makes Terrence feel discouraged.,2
617,Nichelle feels glad.,3
160,Malik feels angry.,0
5885,Heather found herself in a depressing situation.,1
1608,The situation makes him feel miserable.,1
7716,The conversation with Roger was hilarious.,3
1599,The situation makes Jack feel excited.,3
7609,The conversation with Malik was gloomy.,1
3627,Jamel made me feel devastated.,1
5949,Betsy found herself in a gloomy situation.,1
6960,Tanisha told us all about the recent irritating events.,0
6298,Alphonse told us all about the recent wonderful events.,3
8013,The conversation with my uncle was shocking.,2
1359,The situation makes Lamar feel excited.,3
960,Stephanie feels angry.,0
81,Leroy feels furious.,0
3388,I made Ellen feel miserable.,1
4736,My girlfriend made me feel ecstatic.,3
7057,Amanda told us all about the recent amazing events.,3
3316,I made Betsy feel ecstatic.,3
810,Amanda feels terrified.,2
5546,My husband found himself in a serious situation.,1
1601,The situation makes him feel furious.,0
6425,Terrence told us all about the recent depressing events.,1
5482,This boy found himself in an outrageous situation.,0
2053,The situation makes Heather feel anxious.,2
2805,I made him feel sad.,1
2972,I made my uncle feel scared.,2
7811,The conversation with Andrew was threatening.,2
4618,She made me feel relieved.,3
4115,My husband made me feel happy.,3
7777,The conversation with Justin was amazing.,3
3643,Alphonse made me feel enraged.,0
5279,Harry found himself in a great situation.,3
27,Jamel feels devastated.,1
2818,I made him feel relieved.,3
5776,Tanisha found herself in a hilarious situation.,3
4419,Amanda made me feel excited.,3
1502,The situation makes Frank feel irritated.,0
3486,I made my daughter feel depressed.,1
535,My boyfriend feels happy.,3
6540,Frank told us all about the recent irritating events.,0
4068,My brother made me feel miserable.,1
6204,My aunt found herself in a displeasing situation.,0
1725,The situation makes my boyfriend feel sad.,1
7387,My mother told us all about the recent grim events.,1
6975,Tanisha told us all about the recent funny events.,3
3916,Frank made me feel ecstatic.,3
6874,Shereen told us all about the recent dreadful events.,2
7389,My mother told us all about the recent gloomy events.,1
4271,Latisha made me feel discouraged.,2
2277,The situation makes my sister feel glad.,3
147,Lamar feels devastated.,1
6007,Stephanie found herself in a grim situation.,1
5219,Malik found himself in a great situation.,3
8162,The conversation with Tanisha was outrageous.,0
7212,Stephanie told us all about the recent terrifying events.,2
8260,The conversation with Courtney was irritating.,0
2516,I made Torrance feel ecstatic.,3
5159,Torrance found himself in a great situation.,3
3545,I made my mother feel sad.,1
2522,I made Darnell feel irritated.,0
362,Andrew feels irritated.,0
544,My father feels annoyed.,0
6841,Nichelle told us all about the recent vexing events.,0
5994,Nancy found herself in a dreadful situation.,2
7301,My sister told us all about the recent vexing events.,0
2402,I made Alonzo feel irritated.,0
7971,The conversation with my boyfriend was threatening.,2
615,Nichelle feels happy.,3
8573,The conversation with my girlfriend was shocking.,2
2518,I made Torrance feel relieved.,3
72,Jerome feels scared.,2
5973,Kristin found herself in a shocking situation.,2
5383,Ryan found himself in an annoying situation.,0
3246,I made Heather feel depressed.,1
19,Alonzo feels excited.,3
4432,Courtney made me feel scared.,2
394,Jack feels fearful.,2
2864,I made my brother feel annoyed.,0
2070,The situation makes Melanie feel terrified.,2
2542,I made Lamar feel irritated.,0
4152,My father made me feel scared.,2
8315,The conversation with Melanie was funny.,3
3549,I made my mother feel disappointed.,1
1331,The situation makes Darnell feel discouraged.,2
3623,Jamel made me feel enraged.,0
661,Latisha feels furious.,0
4392,Latoya made me feel scared.,2
50,Alphonse feels terrified.,2
4346,Tia made me feel depressed.,1
8329,The conversation with Katie was gloomy.,1
5807,Lakisha found herself in a grim situation.,1
4200,Nichelle made me feel angry.,0
1988,The situation makes Latoya feel miserable.,1
1871,The situation makes Latisha feel discouraged.,2
6996,Tia told us all about the recent hilarious events.,3
8033,The conversation with my dad was shocking.,2
7728,The conversation with Alan was heartbreaking.,1
8446,The conversation with her was serious.,1
5329,Alan found himself in a gloomy situation.,1
7862,The conversation with this man was outrageous.,0
2294,The situation makes my daughter feel fearful.,2
6251,Alonzo told us all about the recent threatening events.,2
1603,The situation makes him feel enraged.,0
2351,The situation makes my mother feel discouraged.,2
2623,I made Harry feel enraged.,0
1141,My mother feels furious.,0
5933,Katie found herself in a shocking situation.,2
6939,Shaniqua told us all about the recent great events.,3
7885,The conversation with this boy was depressing.,1
8238,The conversation with Latoya was wonderful.,3
7626,The conversation with Terrence was serious.,1
5290,Josh found himself in a horrible situation.,2
7220,Ellen told us all about the recent irritating events.,0
7374,My girlfriend told us all about the recent dreadful events.,2
2184,The situation makes Ellen feel annoyed.,0
972,Stephanie feels scared.,2
6576,Justin told us all about the recent hilarious events.,3
3856,Josh made me feel ecstatic.,3
5119,Jerome found himself in a great situation.,3
7690,The conversation with Josh was horrible.,2
1890,The situation makes Shaniqua feel terrified.,2
